科目番号,科目名,,単位数,,,,,,,,,,,,,,,
01NA071,行政法総合演習,,1.0,,,,,,,,,,,,,,,
01NA072,民法総合演習,,1.0,,,,,,,,,,,,,,,
01NA073,商法総合演習,,1.0,,,,,,,,,,,,,,,
01NA074,民事訴訟法総合演習,,1.0,,,,,,,,,,,,,,,
01NA075,民事法総合演習,,3.0,,,,,,,,,,,,,,,
01NA076,刑法総合演習I,,1.0,,,,,,,,,,,,,,,
01NA077,刑法総合演習II,,1.0,,,,,,,,,,,,,,,
01NA078,刑事訴訟法総合演習,,1.0,,,,,,,,,,,,,,,
01NA079,刑法III,,2.0,,,,,,,,,,,,,,,
01NA080,刑事訴訟法II,,1.0,,,,,,,,,,,,,,,
01NA104,法曹倫理I,,1.0,,,,,,,,,,,,,,,
01NA105,法曹倫理II,,1.0,,,,,,,,,,,,,,,
01NA106,法曹実務基礎,,1.0,,,,,,,,,,,,,,,
01NA151,民事訴訟実務の基礎I,,2.0,,,,,,,,,,,,,,,
01NA152,刑事訴訟実務の基礎I,,2.0,,,,,,,,,,,,,,,
01NA154,民事訴訟実務の基礎II,,1.0,,,,,,,,,,,,,,,
01NA155,刑事訴訟実務の基礎II,,1.0,,,,,,,,,,,,,,,
01NA156,ロイヤリングI,,1.0,,,,,,,,,,,,,,,
01NA157,ロイヤリングII,,1.0,,,,,,,,,,,,,,,
01NA158,リーガルクリニック,,1.0,,,,,,,,,,,,,,,
01NA159,要件事実論I,,1.0,,,,,,,,,,,,,,,
01NA160,要件事実論II,,1.0,,,,,,,,,,,,,,,
01NA161,民事模擬裁判,,1.0,,,,,,,,,,,,,,,
01NA162,刑事模擬裁判,,1.0,,,,,,,,,,,,,,,
01NA201,法哲学,,1.0,,,,,,,,,,,,,,,
01NA202,英米法,,1.0,,,,,,,,,,,,,,,
01NA203,EU法,,1.0,,,,,,,,,,,,,,,
01NA204,法史学,,1.0,,,,,,,,,,,,,,,
01NA253,公共政策,,1.0,,,,,,,,,,,,,,,
01NA254,立法学,,1.0,,,,,,,,,,,,,,,
01NA255,刑事政策,,1.0,,,,,,,,,,,,,,,
01NA261,法交渉学,,1.0,,,,,,,,,,,,,,,
01NA302,知的財産法,,2.0,,,,,,,,,,,,,,,
01NA306,倒産法,,2.0,,,,,,,,,,,,,,,
01NA307,国際取引法,,2.0,,,,,,,,,,,,,,,
01NA308,国際私法,,2.0,,,,,,,,,,,,,,,
01NA309,経済法,,2.0,,,,,,,,,,,,,,,
01NA310,租税法,,2.0,,,,,,,,,,,,,,,
01NA311,労働法,,2.0,,,,,,,,,,,,,,,
01NA314,環境法,,2.0,,,,,,,,,,,,,,,
01NA317,国際公法,,2.0,,,,,,,,,,,,,,,
01NA318,国際私法(続),,1.0,,,,,,,,,,,,,,,
01NA319,労働法(続),,1.0,,,,,,,,,,,,,,,
01NA351,地方自治,,1.0,,,,,,,,,,,,,,,
01NA354,金融商品取引法,,1.0,,,,,,,,,,,,,,,
01NA355,消費者法,,1.0,,,,,,,,,,,,,,,
01NA369,倒産法演習,,1.0,,,,,,,,,,,,,,,
01NA371,労働法演習,,1.0,,,,,,,,,,,,,,,
01NA372,知的財産法演習,,1.0,,,,,,,,,,,,,,,
01NA373,倒産法演習(続),,1.0,,,,,,,,,,,,,,,
01NA374,労働法演習(続),,1.0,,,,,,,,,,,,,,,
01NA375,知的財産法演習(続),,1.0,,,,,,,,,,,,,,,
01NA404,英文法律文書作成,,1.0,,,,,,,,,,,,,,,
01NA409,少年法,,1.0,,,,,,,,,,,,,,,
01NA410,自治体法務,,1.0,,,,,,,,,,,,,,,
01NA412,民事執行・保全法,,1.0,,,,,,,,,,,,,,,
01NA413,国際私法演習,,1.0,,,,,,,,,,,,,,,
01NA414,金融法〔金融監督法・金融取引法〕,,1.0,,,,,,,,,,,,,,,
01NA415,企業法務,,1.0,,,,,,,,,,,,,,,
01NA417,国際私法演習(続),,1.0,,,,,,,,,,,,,,,
